nvm,ncm,nvf,ncf,cn,fn,agb,nsc,pn,pr
0.068,42.9,0.173,42.3,16.9,11.9,1.334,1.329,11980.46667,2893.3
0.076,43.3,0.167,43.8,17.6,12.1,1.694,1.438,11976.13333,2689.2
0.075,42.3,0.2,42.5,16.2,14,1.292,1.603,12009.93333,2871.4
0.062,41.3,0.15,42,16.6,13.8,1.175,0.885,11853,2712
0.065,40.9,0.169,42.5,20.9,11.2,1.515,1.323,11618.26667,2795.7
0.065,40.7,0.166,41.9,12.9,14.7,1.184,0.948,11505.6,2894.5
0.074,41.3,0.165,41.8,21.2,16.4,1.023,1.055,12074.26667,2850.8
0.067,42.3,0.17,43.3,16.9,11.2,1.392,1.194,11822.06667,2910.1
0.069,40.3,0.165,42.1,16.9,14.9,1.567,1.164,11612.8,3001.6
0.069,41.6,0.166,41.4,19.6,14.2,1.385,0.938,11929.33333,2882.8
0.058,41.8,0.162,42.9,15.2,14.2,1.174,1.215,11388.66667,2550.3
0.064,41.3,0.17,42.4,16.6,13.4,1.442,1.329,11505.33333,2460.7
0.066,41.4,0.165,42.8,21.6,15.4,1.098,1.344,11679.33333,2692.7
0.078,40.6,0.195,42.3,18.6,11.8,1.602,1.528,12666.66667,2765.4
0.073,40.9,0.178,42.2,12.6,14.8,1.388,1.479,11830,2769.1
0.065,42.3,0.178,42.2,14.2,11.7,1.267,1.505,11568,2909.4
0.07,42.7,0.172,42.2,16.6,15.3,1.192,1.424,11699.33333,3024.5
0.072,41.1,0.176,41.9,15.9,14.6,1.548,1.176,11526,2941.3
0.077,41.4,0.175,42.4,18.6,12.2,1.514,1.226,11527.33333,2922.8
0.077,40.9,0.159,43,13.6,14.2,1.665,1.326,11660.66667,2809.6
0.069,42.5,0.184,42.3,16.6,15.4,1.518,1.615,11816,2545
0.072,41.9,0.175,43.8,12.6,16.2,1.593,1.136,11788.66667,2646.2
0.077,41.6,0.17,42.5,16.9,17.6,1.385,1.015,12112,2882.7
0.076,42,0.177,41.9,12.6,16.5,1.103,1.125,11819.33333,3056.9
0.075,40.9,0.159,42.4,17.6,15.9,1.048,1.048,12210.66667,2825.4
0.073,41,0.206,41.9,22.6,15.8,1.618,1.529,12386,2987.3
0.06,40.3,0.16,42.5,15.9,18.1,1,1.058,10852,2623.1
0.069,41.5,0.168,43.2,19.9,15.6,1.496,1.615,10962.66667,2648.5
0.065,40.6,0.151,42,14.9,15.3,0.905,0.968,10996.66667,2871.3
0.067,41.9,0.164,42,19.2,15.8,1.282,1.195,11385.46667,2800.9
