nvm,ncm,nvf,ncf,cn,fn,agb,nsc,pn,pr
0.167,38.6,0.146,41,18.7,16,1.544,1.903,10288.4,5291
0.186,42.1,0.165,40.7,17.7,15.6,1.549,2.146,11982.66667,6374.5
0.203,40.1,0.177,43.9,20,14.4,2.749,2.692,10741.73333,5547.9
0.154,41.2,0.15,42.2,17,15.2,1.349,1.948,12815.33333,6700.8
0.186,41.5,0.201,41.5,16,16.1,2.769,2.782,12848.66667,6856.1
0.176,41.3,0.202,42.7,18,15,2.235,2.504,11653.66667,6215.7
0.179,42.1,0.188,42,18.7,15.5,2.029,2.381,12192.33333,6177.4
0.186,40.2,0.189,42.9,18,16.7,2.374,2.429,12059.66667,6097.2
0.148,41.6,0.166,42,16,16.6,2.069,2.146,11443,5000.9
0.165,40.5,0.177,42.2,22,14.3,1.463,2.391,11422,5875.6
0.17,41.4,0.187,42.3,18.7,17.2,1.69,2.593,11303.33333,6172.3
0.173,42.3,0.207,41.8,14.7,15.4,2.667,2.673,11463.8,5913.3
0.21,43,0.177,42.1,20.3,16.7,2.24,2.685,12827.33333,6824.5
0.168,40.9,0.16,41.8,18.7,16.5,2.204,2.015,11041,6363.1
0.179,42.8,0.168,41.9,15.7,14,1.973,2.383,9526,6913
0.163,43,0.188,42.2,17.7,18.8,2.592,2.508,11625.66667,5981.1
0.18,41.4,0.18,42.3,20,17.4,2.448,2.473,11498.33333,6130.9
0.176,42.2,0.19,40.5,17.7,16,1.942,2.346,11259.33333,6196.5
0.153,42.3,0.181,41.7,19.7,15.5,1.909,1.929,11643.06667,6014.7
0.173,40.9,0.193,42.7,19.7,15.4,1.541,2.149,11571,5886.8
0.202,41.3,0.203,42.6,15,12.7,2.041,2.737,12958.73333,5761.3
0.171,40.9,0.15,42.4,15,14.1,1.993,1.994,13573,5160.2
0.214,41.2,0.197,43.1,17,11.9,2.242,2.587,12692.46667,6872.5
0.167,40.5,0.223,41.4,13,17.5,1.784,2.428,10772.33333,6159.1
0.197,41.3,0.184,44.3,16,17.2,1.861,2.427,13148.13333,6087
0.168,40.9,0.174,43.2,19.7,14.4,1.863,2.058,10600.73333,5200.5
0.162,39.4,0.174,42,23,17.2,1.263,2.176,12024.46667,6167.7
0.148,42.2,0.219,40.8,17,14.4,1.922,2.36,9663.933333,6103.6
0.161,41.2,0.206,41.6,16,13.1,1.816,2.15,11585,5474.9
0.175,42.9,0.153,44.7,16.7,10.9,1.776,2.11,12468.66667,5971.2
