nvm,ncm,nvf,ncf,agb,nsc,pn,pr,fn,cn
0.073,40.5,0.207,42.7,1.106,1.829,13091.4,2393.3,18.1,14.3
0.043,42.2,0.188,39.6,1.151,1.91456,10992.8,1960.7,19.2,16.8
0.061,38.7,0.181,42.3,1.271,1.523,12189.1,2371.4,17.1,13.6
0.082,41.5,0.171,40.2,1.224,1.52785,10010.5,2212,16.4,17.7
0.091,41,0.17,43.4,1.138,1.7632,11947.6,2295.7,17.1,16.9
0.091,39.7,0.176,42.9,1.304,1.81,11505.6,2394.5,14.2,16
0.082,43.4,0.188,42.7,1.069,1.753,11205.7,2350.8,13.8,17.2
0.073,40.8,0.204,41.6,1.284,1.942,10184.9,2410.1,13.1,20.5
0.095,41.6,0.195,37.5,1.337,1.864,12209.3,2501.6,12.9,19.3
0.084,42.3,0.163,40.5,1.257,1.775,10105.5,2382.8,18.8,15.8
0.083,40.5,0.188,40.5,1.203,1.544,11388.66667,2524.5,16.5,14.5
0.054,40.5,0.174,42.4,1.056,1.569,11505.33333,2189.2,17.9,16.5
0.065,43.6,0.177,43.1,1.191,1.44,11679.33333,2192.7,15,18.1
0.092,41.4,0.172,44.3,1.004,1.192,12666.66667,2265.4,12.7,17.9
0.055,40.2,0.156,38.2,1.199,2.046,11830,2269.1,15.8,16.2
0.086,41.7,0.158,40.6,1.239,1.599,11568,2409.4,17,15
0.058,40.9,0.187,41.5,1.242,1.511,11699.33333,2045,13.9,15.5
0.075,42.1,0.207,40.5,1.411,2.058,11526,2441.3,12.3,17.2
0.083,43,0.208,42.9,1.294,1.90328,11527.33333,2422.8,12.7,19.4
0.068,41.9,0.198,37.5,1.119,1.5259,11660.66667,2309.6,13.6,18.3
0.092,43.2,0.147,41,1.085,1.204,11816,2050.3,15.1,15.4
0.077,40.6,0.191,40.8,1.327,1.9872,11788.66667,2556.9,16.4,18.1
0.083,40.6,0.179,39.3,1.315,1.758,12112,2382.7,18.3,16.2
0.088,42.5,0.19,43.8,1.125,1.774,11819.33333,2123.1,18.3,14.5
0.072,42.8,0.199,40.1,1.19,2.033,12210.66667,2325.4,13.5,13.1
0.099,38.9,0.217,38,1.46,2.164,12386,2487.3,17.2,18.4
0.077,39.7,0.168,43,1.317,1.575,10852,2146.2,18.2,17.5
0.093,40.1,0.182,42.4,1.182,1.792,10962.66667,2148.5,16.1,13.8
0.085,41.4,0.159,41.1,1.173,1.4028,10996.66667,2371.3,16,17.7
0.066,42.3,0.187,41.6,1.103,1.32875,11385.46667,2300.9,17.3,19.4
