site,plot,sw,sn,sp,sk,nvm,ncm,nvf,ncf,cn,fn,sdn,vrf,vrm,agb,nsc,ssr,pn,pr
1,1,74.5 ,4.97 ,1.14 ,13.82,0.068,42.9,0.173,42.3,16.9,11.9,7.2,10.7,1.2,1.334,1.329,0.59,11980.46667,2893.3
1,2,72.1 ,8.05 ,1.39 ,11.49,0.076,43.3,0.167,43.8,17.6,12.1,8.9,9,1.7,1.694,1.438,0.69,11976.13333,2689.2
1,3,73.4 ,6.26 ,1.30 ,13.76,0.075,42.3,0.2,42.5,16.2,14,8.8,11.6,1.8,1.292,1.603,0.71,12009.93333,2871.4
1,4,59.7 ,5.58 ,1.51 ,12.36,0.062,41.3,0.15,42,16.6,13.8,9.8,6.1,1.4,1.175,0.885,0.58,11853,2712
1,5,64.5 ,6.62 ,1.62 ,11.43,0.065,40.9,0.169,42.5,20.9,11.2,7.4,9.3,1.6,1.515,1.323,0.63,11618.26667,2795.7
1,6,72.5 ,3.92 ,1.23 ,11.85,0.065,40.7,0.166,41.9,12.9,14.7,11.1,8.3,1.6,1.184,0.948,0.62,11505.6,2894.5
1,7,75.2 ,8.16 ,1.36 ,10.68,0.074,41.3,0.165,41.8,21.2,16.4,12,6.8,1.4,1.023,1.055,0.65,12074.26667,2850.8
1,8,63.3 ,7.44 ,1.27 ,12.19,0.067,42.3,0.17,43.3,16.9,11.2,7.4,10.3,1.5,1.392,1.194,0.66,11822.06667,2910.1
1,9,69.2 ,5.03 ,1.44 ,11.58,0.069,40.3,0.165,42.1,16.9,14.9,10.4,9.8,1.7,1.567,1.164,0.7,11612.8,3001.6
1,10,77.1 ,5.76 ,1.38 ,11.02,0.069,41.6,0.166,41.4,19.6,14.2,9.2,8.7,1.6,1.385,0.938,0.65,11929.33333,2882.8
2,1,79.2 ,8.28 ,1.49 ,12.21,0.058,41.8,0.162,42.9,15.2,14.2,9.3,10.8,1,1.174,1.215,0.69,11388.66667,2550.3
2,2,56.5 ,6.03 ,1.59 ,13.68,0.064,41.3,0.17,42.4,16.6,13.4,7.9,10.7,1.1,1.442,1.329,0.7,11505.33333,2460.7
2,3,64.5 ,3.76 ,1.62 ,12.1,0.066,41.4,0.165,42.8,21.6,15.4,10.9,9.5,1.7,1.098,1.344,0.67,11679.33333,2692.7
2,4,74.5 ,4.76 ,1.23 ,10.09,0.078,40.6,0.195,42.3,18.6,11.8,7.3,11.9,1.6,1.602,1.528,0.73,12666.66667,2765.4
2,5,55.5 ,8.29 ,1.31 ,11.24,0.073,40.9,0.178,42.2,12.6,14.8,9.1,11.5,1.5,1.388,1.479,0.71,11830,2769.1
2,6,68.3 ,7.29 ,1.22 ,11.5,0.065,42.3,0.178,42.2,14.2,11.7,8.2,8.6,1.5,1.267,1.505,0.7,11568,2909.4
2,7,73.1 ,7.42 ,1.30 ,10.58,0.07,42.7,0.172,42.2,16.6,15.3,10.1,8.1,1.4,1.192,1.424,0.62,11699.33333,3024.5
2,8,60.3 ,5.03 ,1.45 ,11.3,0.072,41.1,0.176,41.9,15.9,14.6,10.1,10.5,1.4,1.548,1.176,0.66,11526,2941.3
2,9,74.5 ,4.33 ,1.27 ,13.89,0.077,41.4,0.175,42.4,18.6,12.2,7.2,6.8,1.8,1.514,1.226,0.61,11527.33333,2922.8
2,10,72.3 ,7.67 ,1.34 ,14.29,0.077,40.9,0.159,43,13.6,14.2,9,8.8,1.4,1.665,1.326,0.56,11660.66667,2809.6
3,1,52.8 ,8.18 ,1.57 ,14.67,0.069,42.5,0.184,42.3,16.6,15.4,9.8,9.8,1.1,1.518,1.615,0.72,11816,2545
3,2,69.3 ,7.17 ,1.54 ,10.98,0.072,41.9,0.175,43.8,12.6,16.2,9.7,9.9,1.2,1.593,1.136,0.71,11788.66667,2646.2
3,3,80.3 ,4.58 ,1.43 ,11.57,0.077,41.6,0.17,42.5,16.9,17.6,10.3,8.6,1.6,1.385,1.015,0.6,12112,2882.7
3,4,70.3 ,5.13 ,1.30 ,12.2,0.076,42,0.177,41.9,12.6,16.5,12.6,8.9,1.9,1.103,1.125,0.63,11819.33333,3056.9
3,5,57.1 ,7.76 ,1.65 ,10.4,0.075,40.9,0.159,42.4,17.6,15.9,9.4,10.8,1.5,1.048,1.048,0.6,12210.66667,2825.4
3,6,73.0 ,3.76 ,1.43 ,11.9,0.073,41,0.206,41.9,22.6,15.8,9.8,12.6,1.3,1.618,1.529,0.78,12386,2987.3
3,7,66.9 ,5.07 ,1.47 ,13.99,0.06,40.3,0.16,42.5,15.9,18.1,13.8,8.9,1.1,1,1.058,0.66,10852,2623.1
3,8,76.7 ,7.13 ,1.29 ,14.11,0.069,41.5,0.168,43.2,19.9,15.6,11.1,10.5,1.3,1.496,1.615,0.76,10962.66667,2648.5
3,9,59.9 ,7.17 ,0.86 ,10.11,0.065,40.6,0.151,42,14.9,15.3,9.3,8.1,1.3,0.905,0.968,0.61,10996.66667,2871.3
3,10,86.7 ,6.17 ,1.22 ,13.9,0.067,41.9,0.164,42,19.2,15.8,11.9,6.9,1.4,1.282,1.195,0.59,11385.46667,2800.9
