tr,nvm,ncm,nvf,ncf,cn,fn,vrf,vrm,agb,nsc,pn,pr
wgp,0.167,38.6,0.146,41,18.7,16,8.9,8,1.544,1.903,10288.4,5291
wgp,0.186,42.1,0.165,40.7,17.7,15.6,9.1,11.3,1.549,2.146,11982.66667,6374.5
wgp,0.203,40.1,0.177,43.9,20,14.4,10.7,12.6,2.749,2.692,10741.73333,5547.9
wgp,0.154,41.2,0.15,42.2,17,15.2,8,8.1,1.349,1.948,12815.33333,6700.8
wgp,0.186,41.5,0.201,41.5,16,16.1,14.4,13.7,2.769,2.782,12848.66667,6856.1
wgp,0.176,41.3,0.202,42.7,18,15,13.4,12.8,2.235,2.504,11653.66667,6215.7
wgp,0.179,42.1,0.188,42,18.7,15.5,12.2,10.1,2.029,2.381,12192.33333,6177.4
wgp,0.186,40.2,0.189,42.9,18,16.7,11,11.2,2.374,2.429,12059.66667,6097.2
wgp,0.148,41.6,0.166,42,16,16.6,8.4,6.8,2.069,2.146,11443,5000.9
wgp,0.165,40.5,0.177,42.2,22,14.3,9,7.3,1.463,2.391,11422,5875.6
wgp,0.17,41.4,0.187,42.3,18.7,17.2,11.9,9.9,1.69,2.593,11303.33333,6172.3
wgp,0.173,42.3,0.207,41.8,14.7,15.4,10.7,9.9,2.667,2.673,11463.8,5913.3
wgp,0.21,43,0.177,42.1,20.3,16.7,7.9,13.7,2.24,2.685,12827.33333,6824.5
wgp,0.168,40.9,0.16,41.8,18.7,16.5,9,12.9,2.204,2.015,11041,6363.1
wgp,0.179,42.8,0.168,41.9,15.7,14,11.8,13.1,1.973,2.383,11585,6913
wgp,0.163,43,0.188,42.2,17.7,18.8,9.9,10.3,2.592,2.508,11625.66667,5981.1
wgp,0.18,41.4,0.18,42.3,20,17.4,9.3,10.8,2.448,2.473,11498.33333,6130.9
wgp,0.176,42.2,0.19,40.5,17.7,16,12.9,10.6,1.942,2.346,11259.33333,6196.5
wgp,0.153,42.3,0.181,41.7,19.7,15.5,9.7,9.2,1.909,1.929,11643.06667,6014.7
wgp,0.173,40.9,0.193,42.7,19.7,15.4,11.2,11.7,1.541,2.149,11571,5886.8
wgp,0.202,41.3,0.203,42.6,15,12.7,9.8,10.3,2.041,2.737,12958.73333,5761.3
wgp,0.171,40.9,0.15,42.4,15,14.1,8,8.1,1.993,1.994,13573,5160.2
wgp,0.214,41.2,0.197,43.1,17,11.9,10.2,15.1,2.242,2.587,12692.46667,6872.5
wgp,0.167,40.5,0.223,41.4,13,17.5,11,10.8,1.784,2.428,10772.33333,6159.1
wgp,0.197,41.3,0.184,44.3,16,17.2,8,11.1,1.861,2.427,13148.13333,6087
