"","tr","variable","value"
"1","0% lar","nvm",0.111
"2","0% lar","nvm",0.132
"3","0% lar","nvm",0.137
"4","0% lar","nvm",0.143
"5","0% lar","nvm",0.152
"6","0% lar","nvm",0.131
"7","0% lar","nvm",0.172
"8","0% lar","nvm",0.155
"9","0% lar","nvm",0.162
"10","0% lar","nvm",0.163
"11","0% lar","nvm",0.181
"12","0% lar","nvm",0.183
"13","0% lar","nvm",0.189
"14","0% lar","nvm",0.181
"15","0% lar","nvm",0.195
"16","0% lar","nvm",0.122
"17","0% lar","nvm",0.145
"18","0% lar","nvm",0.219
"19","0% lar","nvm",0.185
"20","0% lar","nvm",0.119
"21","0% lar","nvm",0.1052
"22","0% lar","nvm",0.205
"23","0% lar","nvm",0.173
"24","0% lar","nvm",0.174
"25","0% lar","nvm",0.157
"26","0% lar","nvm",0.156
"27","0% lar","nvm",0.171
"28","0% lar","nvm",0.155
"29","0% lar","nvm",0.183
"30","0% lar","nvm",0.161
"31","30% lar","nvm",0.073
"32","30% lar","nvm",0.043
"33","30% lar","nvm",0.061
"34","30% lar","nvm",0.082
"35","30% lar","nvm",0.091
"36","30% lar","nvm",0.091
"37","30% lar","nvm",0.082
"38","30% lar","nvm",0.073
"39","30% lar","nvm",0.095
"40","30% lar","nvm",0.084
"41","30% lar","nvm",0.083
"42","30% lar","nvm",0.054
"43","30% lar","nvm",0.065
"44","30% lar","nvm",0.092
"45","30% lar","nvm",0.055
"46","30% lar","nvm",0.086
"47","30% lar","nvm",0.058
"48","30% lar","nvm",0.075
"49","30% lar","nvm",0.083
"50","30% lar","nvm",0.068
"51","30% lar","nvm",0.092
"52","30% lar","nvm",0.077
"53","30% lar","nvm",0.083
"54","30% lar","nvm",0.088
"55","30% lar","nvm",0.072
"56","30% lar","nvm",0.099
"57","30% lar","nvm",0.077
"58","30% lar","nvm",0.093
"59","30% lar","nvm",0.085
"60","30% lar","nvm",0.066
"61","0% lar","ncm",40.9
"62","0% lar","ncm",43.4
"63","0% lar","ncm",41.2
"64","0% lar","ncm",39.5
"65","0% lar","ncm",40.5
"66","0% lar","ncm",42.6
"67","0% lar","ncm",40.6
"68","0% lar","ncm",42.9
"69","0% lar","ncm",44.7
"70","0% lar","ncm",41.3
"71","0% lar","ncm",43
"72","0% lar","ncm",40.7
"73","0% lar","ncm",43.8
"74","0% lar","ncm",44.5
"75","0% lar","ncm",37.5
"76","0% lar","ncm",40.4
"77","0% lar","ncm",41.8
"78","0% lar","ncm",43.2
"79","0% lar","ncm",40.3
"80","0% lar","ncm",41.7
"81","0% lar","ncm",39.4
"82","0% lar","ncm",40.5
"83","0% lar","ncm",41.6
"84","0% lar","ncm",43.7
"85","0% lar","ncm",41
"86","0% lar","ncm",44.5
"87","0% lar","ncm",43.3
"88","0% lar","ncm",40.8
"89","0% lar","ncm",42.5
"90","0% lar","ncm",39.1
"91","30% lar","ncm",40.5
"92","30% lar","ncm",42.2
"93","30% lar","ncm",38.7
"94","30% lar","ncm",41.5
"95","30% lar","ncm",41
"96","30% lar","ncm",39.7
"97","30% lar","ncm",43.4
"98","30% lar","ncm",40.8
"99","30% lar","ncm",41.6
"100","30% lar","ncm",42.3
"101","30% lar","ncm",40.5
"102","30% lar","ncm",40.5
"103","30% lar","ncm",43.6
"104","30% lar","ncm",41.4
"105","30% lar","ncm",40.2
"106","30% lar","ncm",41.7
"107","30% lar","ncm",40.9
"108","30% lar","ncm",42.1
"109","30% lar","ncm",43
"110","30% lar","ncm",41.9
"111","30% lar","ncm",43.2
"112","30% lar","ncm",40.6
"113","30% lar","ncm",40.6
"114","30% lar","ncm",42.5
"115","30% lar","ncm",42.8
"116","30% lar","ncm",38.9
"117","30% lar","ncm",39.7
"118","30% lar","ncm",40.1
"119","30% lar","ncm",41.4
"120","30% lar","ncm",42.3
"121","0% lar","nvf",0.183
"122","0% lar","nvf",0.174
"123","0% lar","nvf",0.166
"124","0% lar","nvf",0.157
"125","0% lar","nvf",0.117
"126","0% lar","nvf",0.182
"127","0% lar","nvf",0.215
"128","0% lar","nvf",0.167
"129","0% lar","nvf",0.166
"130","0% lar","nvf",0.138
"131","0% lar","nvf",0.173
"132","0% lar","nvf",0.201
"133","0% lar","nvf",0.194
"134","0% lar","nvf",0.207
"135","0% lar","nvf",0.252
"136","0% lar","nvf",0.141
"137","0% lar","nvf",0.165
"138","0% lar","nvf",0.179
"139","0% lar","nvf",0.224
"140","0% lar","nvf",0.147
"141","0% lar","nvf",0.188
"142","0% lar","nvf",0.214
"143","0% lar","nvf",0.243
"144","0% lar","nvf",0.218
"145","0% lar","nvf",0.212
"146","0% lar","nvf",0.17
"147","0% lar","nvf",0.136
"148","0% lar","nvf",0.155
"149","0% lar","nvf",0.16
"150","0% lar","nvf",0.184
"151","30% lar","nvf",0.207
"152","30% lar","nvf",0.188
"153","30% lar","nvf",0.181
"154","30% lar","nvf",0.171
"155","30% lar","nvf",0.17
"156","30% lar","nvf",0.176
"157","30% lar","nvf",0.188
"158","30% lar","nvf",0.204
"159","30% lar","nvf",0.195
"160","30% lar","nvf",0.163
"161","30% lar","nvf",0.188
"162","30% lar","nvf",0.174
"163","30% lar","nvf",0.177
"164","30% lar","nvf",0.172
"165","30% lar","nvf",0.156
"166","30% lar","nvf",0.158
"167","30% lar","nvf",0.187
"168","30% lar","nvf",0.207
"169","30% lar","nvf",0.208
"170","30% lar","nvf",0.198
"171","30% lar","nvf",0.147
"172","30% lar","nvf",0.191
"173","30% lar","nvf",0.179
"174","30% lar","nvf",0.19
"175","30% lar","nvf",0.199
"176","30% lar","nvf",0.217
"177","30% lar","nvf",0.168
"178","30% lar","nvf",0.182
"179","30% lar","nvf",0.159
"180","30% lar","nvf",0.187
"181","0% lar","ncf",43.9
"182","0% lar","ncf",44
"183","0% lar","ncf",37.5
"184","0% lar","ncf",40.3
"185","0% lar","ncf",41.6
"186","0% lar","ncf",42.5
