sp,blue pollen,red pollen,unstained pollen
Swgp,706.6,226.7,165.3
Swgp,699.4,219.3,88.8
Swgp,700.5,220.5,131.2
Swgp,722.9,242.5,78.4
Swgp,695.5,215.8,99.5
Swgp,704.4,224.3,78.4
Swgp,716.3,236.1,108.2
Swgp,695.4,215.7,94.5
Swgp,709.5,229.2,65.6
Swgp,717.8,237.8,97.3
Swgp,699,219.6,68.3
Swgp,717.5,237.1,29.9
Swgp,702.4,222.2,135.7
Swgp,714.6,234.8,182.9
Swgp,702.3,220.5,221.3
Swgp,708.8,228.3,137.1
Swgp,698.1,218.9,153.7
Swgp,717.5,237.5,178.6
Swgp,698.4,218.6,192.2
Swgp,699.8,219.3,181.4
Swgp,701,221.5,143.6
Swgp,721,241.5,93.5
Swgp,691.7,210.9,135.8
Swgp,697.2,217.3,117.6
Swgp,704.3,224.5,108.2
Swgp,702.8,222.9,139.4
Swgp,700.1,220.4,101.5
Swgp,693.3,213.5,133.6
Swgp,716.7,236.2,127.8
Swgp,713.8,233.3,103.5
Ssgp,750.4,251.2,93.2
Ssgp,652.3,152.3,85.2
Ssgp,728.7,228.4,115.6
Ssgp,645.6,145.6,122.4
Ssgp,705.5,205.1,85.1
Ssgp,729.3,229.1,136.3
Ssgp,737.6,237.4,76.2
Ssgp,746,246.7,118.7
Ssgp,801.7,301.9,99.2
Ssgp,739.6,239.3,104.2
Ssgp,789.2,289.2,109.1
Ssgp,734.7,234.5,117.5
Ssgp,706.3,206.5,96.8
Ssgp,841.1,341.2,74.3
Ssgp,621.5,121.1,104.1
Ssgp,585.3,85.6,75.5
Ssgp,604.4,104.4,112.5
Ssgp,630.6,131.2,88.7
Ssgp,574.2,74.2,102.6
Ssgp,543.6,43.5,74.9
Ssgp,775.3,275.4,122.3
Ssgp,668.2,168.2,77.5
Ssgp,617.2,117.3,93.5
Ssgp,739.5,239,85.4
Ssgp,651.4,151.3,111.5
Ssgp,689.1,189.1,103.7
Ssgp,775.3,275.6,80.2
Ssgp,802.1,302.5,92.8
Ssgp,699.6,199.2,116.6
Ssgp,654.9,154.8,78.7
S0%lar,689.7,191.7,146.5
S0%lar,586.2,209.6,144.3
S0%lar,670.3,201.9,142.8
S0%lar,653.5,209.3,96.8
S0%lar,628.5,196.2,129.8
S0%lar,664.9,263.6,152
S0%lar,607.5,218.6,109.8
S0%lar,654.8,259.3,146.9
S0%lar,629.6,206.8,153.7
S0%lar,634.8,191.5,134
S0%lar,693.5,230.8,158.5
S0%lar,692.8,213.8,94.1
S0%lar,711.2,239.2,161.7
S0%lar,708.7,205.8,95.4
S0%lar,699.7,283.1,93.6
S0%lar,671.4,199.1,139.7
S0%lar,606.9,202.8,90.4
S0%lar,714.8,232.8,93
S0%lar,689.7,171.1,109.1
S0%lar,591.5,228.5,122.5
S0%lar,666.8,288.3,104.1
S0%lar,598.1,249.7,129.3
S0%lar,683.8,333.1,143.7
S0%lar,675.2,221.9,102.4
S0%lar,648.8,291.8,106
S0%lar,656.6,300.8,152.9
S0%lar,678.9,277.3,98.8
S0%lar,645,218.7,126.7
S0%lar,594.7,223.5,82
S0%lar,630,216.7,83.7
S30%lar,660.9,276.4,102.8
S30%lar,590.7,251.5,112.7
