tr,site,plot,sw,sn,sp,sk,nvm,ncm,nvf,ncf,cn,fn,sdn,vrf,vrm,agb,nsc,ssr,pn,pr,log(pn),log(pr)
1,1,1,83.3,3.42,1.91,13.28,0.167,38.6,0.146,41,18.7,16,9,8.9,8,1.544,1.903,0.56,10288.4,5291,4.012347841,3.723537762
1,1,2,78.2,6.43,1.47,9.82,0.186,42.1,0.165,40.7,17.7,15.6,9.9,9.1,11.3,1.549,2.146,0.63,11982.66667,6374.5,4.078553478,3.804446125
1,1,3,78.2,4.28,1.73,11.24,0.203,40.1,0.177,43.9,20,14.4,9.9,10.7,12.6,2.749,2.692,0.68,10741.73333,5547.9,4.031074367,3.744128624
1,1,4,89.6,5.33,1.82,10.98,0.154,41.2,0.15,42.2,17,15.2,9.4,8,8.1,1.349,1.948,0.62,12815.33333,6700.8,4.107729907,3.826126656
1,1,5,78.2,3.35,1.55,12.77,0.186,41.5,0.201,41.5,16,16.1,12.4,14.4,13.7,2.769,2.782,0.77,12848.66667,6856.1,4.108858062,3.836077143
1,1,6,83.8,6.05,1.79,12.79,0.176,41.3,0.202,42.7,18,15,11.6,13.4,12.8,2.235,2.504,0.77,11653.66667,6215.7,4.066462592,3.793490045
1,1,7,80.4,4.35,1.77,10.29,0.179,42.1,0.188,42,18.7,15.5,11.7,12.2,10.1,2.029,2.381,0.76,12192.33333,6177.4,4.086086827,3.790805724
1,1,8,94.9,3.59,1.67,11.93,0.186,40.2,0.189,42.9,18,16.7,11.5,11,11.2,2.374,2.429,0.69,12059.66667,6097.2,4.081335304,3.785130441
1,1,9,83.4,5.57,1.82,13.11,0.148,41.6,0.166,42,16,16.6,10.4,8.4,6.8,2.069,2.146,0.63,11443,5000.9,4.058539898,3.69904817
1,1,10,91.4,6.45,1.66,9.28,0.165,40.5,0.177,42.2,22,14.3,10,9,7.3,1.463,2.391,0.7,11422,5875.6,4.057742156,3.769052222
1,2,1,67.9,3.05,1.53,14.19,0.17,41.4,0.187,42.3,18.7,17.2,12.1,11.9,9.9,1.69,2.593,0.7,11303.33333,6172.3,4.053206535,3.790447026
1,2,2,85.6,6.66,1.68,10.48,0.173,42.3,0.207,41.8,14.7,15.4,12.3,10.7,9.9,2.667,2.673,0.8,11463.8,5913.3,4.059328601,3.771829913
1,2,3,93.7,5.57,1.63,9.75,0.21,43,0.177,42.1,20.3,16.7,12.6,7.9,13.7,2.24,2.685,0.75,12827.33333,6824.5,4.10813638,3.834070838
1,2,4,75.6,3.19,1.94,13.84,0.168,40.9,0.16,41.8,18.7,16.5,9,9,12.9,2.204,2.015,0.55,11041,6363.1,4.04300841,3.803668748
1,2,5,81.7,6.56,1.67,13.02,0.179,42.8,0.168,41.9,15.7,14,8.9,11.8,13.1,1.973,2.383,0.63,11585,6913,4.063896038,3.839666557
1,2,6,88.6,4.55,1.86,12.14,0.163,43,0.188,42.2,17.7,18.8,12.9,9.9,10.3,2.592,2.508,0.69,11625.66667,5981.1,4.065417867,3.776781064
